id,name,intelligence,strength,speed,durability,full-name,aliases,place-of-birth,First Appearance,Release Date,publisher,alignment,gender,race,height,weight,eye-color,hair-color,occupation,base,group-affiliation,relatives,height_cm,weight_kg
196,Cyclops,75.0,10.0,23.0,42.0,Scott Summers,"Scotty, Cyke, Slim, Fearless Leader, One-Eye, Erik the Red, Slym Dayspring, Mutate 007, Apocalypse","Anchorage, Alaska","X-Men #1 (September, 1963)",1963-07-02,Marvel Comics,good,Male,Mutant,"[""6'3"", '191 cm']","['195 lb', '88 kg']",brown,brown,"Leader of mutant race, adventurer, headmaster, former student, radio announcer","Xavier Institute, Salem Center, Westchester County, New York","X-Men (leader, founding member); formerly X-Force (founder); Corsairs (squad leader); The Twelve; X-Factor/X-Terminators (founding member); 198","Oscar Summers (adoptive paternal distant ancestor, deceased); Daniel Summers (paternal distant ancestor, deceased); Amanda Mueller (Black Womb) (paternal distant ancestor); unnamed great-grandfather, deceased; Gloria Dayne (Fontanelle) (paternal distant ancestor); Philip Summers (paternal grandfather); Deborah Summers (paternal grandmother); Christopher Summers (Corsair) (father, deceased); Katherine Ann Summers (mother, deceased); Jack Winters (Jack O'Diamonds) (former foster father); Alexander Summers (Havok) (brother); Gabriel Summers (Vulcan) (brother, deceased); Madelyne Pryor-Summers (Red Queen) (first wife/second wife's clone, deceased); Jean Grey-Summers (Phoenix) (second wife, deceased); Nathan Summers (Cable) (son, deceased); Gailyn Bailey (niece, deceased); Joseph Bailey (nephew, deceased); Adam Neramani (X-Treme) (nephew, alleged half-brother); Hope Summers (adoptive granddaughter); Stryfe (son's clone); Summers and Grey Family Tree (more relatives)",191.0,195.0
201,Daredevil,75.0,13.0,25.0,35.0,Matt Murdock,"Matt, Jack Batlin, Kingpin of Crime, Laurent LeVasseur, Michael Mike Murdock, Scarlet Swashbuckler, Nameless One, Kingpin of Hells Kitchen, The Man Without Fear, The Guardian Devil, DD, Red, Hornhead, Cooper Peyton, Captain Universe","New York City, New York","Daredevil #1 (April, 1964)",1964-02-04,Marvel Comics,good,Male,Human,"[""6'0"", '183 cm']","['200 lb', '90 kg']",blue,red,"Adventurer, vigilante, Attorney at Law","Hell's Kitchen, New York, New York, Shadowland (formerly)","none; Formerly: partner of Black Widow (Natasha Romanoff), Defenders, S.H.I.E.L.D., Marvel Knights, Secret Avengers (Civil War), Hand leader.","Jonathan ""Battling Jack"" Murdock (Father, deceased), Maggie Murdock (aka Sister Maggie, Mother), Milla Donovan (ex-wife)",183.0,200.0
202,Darkhawk,50.0,32.0,33.0,70.0,Christopher Powell,"Bucket-Head, Edge-Man, Powell","Queens, New York","Darkhawk #1 (March, 1991)",1991-01-08,Marvel Comics,good,Male,Human,"[""6'1"", '185 cm']","['180 lb', '81 kg']",brown,brown,Retired Superhero,"Los Angeles, California; formerly New York City and Avengers Compound","formerly Loners, New Warriors, Avengers West Coast (reservist), Secret Defenders (founder)","Michael Powell (father), Grace Powell (mother), Jonathon and Jason Powell (brothers)",185.0,180.0
204,Darkseid,88.0,100.0,83.0,100.0,Uxas,Dark God,Unknown,Superman's Pal Jimmy Olsen #134 (November 1970),1970-09-29,DC Comics,bad,Male,New God,"[""8'9"", '267 cm']","['1815 lb', '817 kg']",red,no hair,Dictator of Apokolips,Unknown,"New Gods of Apokolips(ruler), Secret Society of Supervillains","Zonuz (father), Izaya (brother), Avia (sister, deceased), Grail (daughter), Kalibak (son), Orion (son), Deathspawn (son), Scot (nephew/adopted son)",267.0,1815.0
206,Darkstar,38.0,8.0,35.0,42.0,Laynia Petrovna,Tyomni Zvesda,"Minks, USSR","Champions #7 (August, 1976)",1976-06-08,Marvel Comics,good,Female,Mutant,"[""5'6"", '168 cm']","['125 lb', '56 kg']",brown,blond,Occupation unknown,"(before death) Paris, France (formerly) Moscow, USSR; Los Angeles, California, United States","(at death)X-Corps (formerly) Champions, Winter Guard, Soviet Super Soldiers","Nicolai Krylenko a.k.a. Vanguard (brother), Sergi Krylov a.k.a. The Presence (father), Marya Krylova (mother, deceased)",168.0,125.0
211,Dazzler,63.0,10.0,33.0,60.0,Alison Blaire,"Ali, The Disco Dazzler, Songbird, Dazz, Kimberly Schau, Ally","Gardendale, Long Island, New York",X-Men #130 (1980),1980-02-12,Marvel Comics,good,Female,Mutant,"[""5'8"", '173 cm']","['115 lb', '52 kg']",blue,blond,"Adventurer, singer, former actress, model, revolutionary",Unknown,"Formerly Excalibur, X-Babies (guardian), Mojoverse Rebellion, X-Men, Cat's Laughing, Gladiators","Bella Blaire (paternal grandmother), Carter Blaire (father, deceased), Katherine Blaire-Brown (Barbara London, mother), Nicholas Brown (step-father), Lois London (half-sister), Longshot (husband)",173.0,115.0
212,Deadman,50.0,10.0,33.0,100.0,Boston Brand,Unknown,Unknown,"Strange Adventures #205 (October, 1967)",1967-08-29,DC Comics,good,Male,Human,"[""6'0"", '183 cm']","['201 lb', '90 kg']",blue,black,"Wandering Spirit, Former Circus Aerialist","Mobile, Realm of the Just Dead","White Lantern Corps, formerly Sentinels of Magic, Seven Soldiers of Victory, Justice League of Apostles","Cleveland Brand (twin brother, deceased), Lita Brand (niece), Unnamed parents",183.0,201.0
214,Deadshot,50.0,10.0,23.0,28.0,Floyd Lawton,"Man Who Never Misses, Worlds Finest Assassin, Orlando Furioso",Unknown,"Batman #59 (June, 1950)",1950-04-05,DC Comics,bad,Male,Human,"[""6'1"", '185 cm']","['202 lb', '91 kg']",brown,brown,Unknown,Unknown,Unknown,Unknown,185.0,202.0
215,Deathlok,69.0,32.0,30.0,70.0,Luther Manning,Demolisher,Unknown,"Astonishing Tales #25 (August, 1974)",1974-05-07,Marvel Comics,good,Male,Cyborg,"[""6'4"", '193 cm']","['395 lb', '178 kg']",brown,grey,Unknown,New York area,"Former member of the CIA, Project: Alpha-Mech, US Army, ally of Godwulf's Redeemers","Janice (Wife, seperated), Richard (son)",193.0,395.0
216,Deathstroke,75.0,30.0,35.0,100.0,Slade Joseph Wilson,"Slade Wilson, Deathstroke the Terminator, Batman",Unknown,"New Teen Titans #2 (December, 1980)",1980-10-16,DC Comics,neutral,Male,Human,"[""6'4"", '193 cm']","['225 lb', '101 kg']",blue,white,"Mercenary; Former Soldier, Big-Game Hunter",The Labyrinth (exact location is currently unknown),"The Society, Titans; Formerly Tartarus, The Injustice League","Wade LaFarge (Ravager III, half-brother, deceased), Adeline Kane (ex-wife, deceased), Grant Wilson (Ravager I, son, deceased), Joseph Wilson (Jericho, son), Rose Wilson (Ravager IV, daughter)",193.0,225.0
217,Demogoblin,50.0,48.0,42.0,35.0,Unknown,Jason Macendale Jr,Unknown,"Web of Spider-Man #86 (March, 1992)",1992-01-14,Marvel Comics,bad,Male,Demon,"[""6'1"", '185 cm']","['210 lb', '95 kg']",red,no hair,Demonic Redeemer,New York City,Unknown,Unknown,185.0,210.0
218,Destroyer,50.0,95.0,58.0,98.0,Unknown,Unknown,Created in Asgard,Journey into Mystery #118 (1965),1965-03-02,Marvel Comics,bad,Male,Unknown,"[""6'2"", '188 cm']","['850 lb', '383 kg']",unknown,unknown,Unknown,Unknown,Unknown,Unknown,188.0,850.0
219,Diamondback,44.0,16.0,23.0,28.0,Willis Stryker,Unknown,Unknown,"Luke Cage, Hero for Hire #1 (1972)",1972-06-06,Marvel Comics,bad,Male,Human,"[""6'4"", '193 cm']","['200 lb', '90 kg']",brown,black,Criminal,Unknown,"Syndicate, formerly Bloods",Unknown,193.0,200.0
221,Doc Samson,75.0,80.0,33.0,80.0,Leonard Samson,Unknown,"Tulsa, Oklahoma","Incredible Hulk #141 (July, 1971)",1971-04-06,Marvel Comics,good,Male,Human / Radiation,"[""6'6"", '198 cm']","['380 lb', '171 kg']",blue,green,"Psychiatrist, teacher, adventurer, former special consultant to Gamma Base","Psychiatrist, teacher, adventurer, former special consultant to Gamma Base",Unknown,Leonard Skivorski (father); Ricky Myers (son);,198.0,380.0
222,Doctor Doom,100.0,32.0,20.0,100.0,Victor von Doom,"The Master, Invincible Man","Haasenstadt, Latveria",Fantastic Four #5 (July 1962),1962-04-10,Marvel Comics,bad,Male,Human,"[""6'7"", '201 cm']","['415 lb', '187 kg']",brown,brown,Monarch,"Castle Doom, Doomstadt, Latveria","Future Foundation; Formerly Cabal, Knights of the Atomic Table, Acts of Vengeance Prime Movers, partner of Namor, employer of the Terrible Trio, Fantastic Four (leader)","Werner von Doom (father, deceased), Cynthia von Doom (mother, deceased); Kang the Conqueror, his counterparts, and offspring (alleged descendants), Kristoff Vernard (Doctor Doom II, adopted son), Dr Bob Doom (distant cousin), Boris (unofficially adoptive father/guardian), Valeria von Doom (daughter from alternate universe; became baby of Susan Richards and is now called Valeria Richards)",201.0,415.0
224,Doctor Fate,81.0,16.0,25.0,80.0,Kent Nelson,Nabu,Unknown,"More Fun Comics #55 (May, 1940)",1940-03-21,DC Comics,good,Male,Human,"[""6'2"", '188 cm']","['197 lb', '89 kg']",blue,blond,Unknown,"Tower of Fate, Salem, Massachusetts","Formerly All-Star Squadron, Justice Society of America, Justice League International, Black Lantern Corps","Inza Cramer (wife), Sven Nelson (father, deceased), Celestine Babcock (mother), Kent Nelson, Jr. (son), Aaron Babcock (uncle), Kent V. Nelson (grand-nephew), Laryn Nelson (great grand-niece)",188.0,197.0
225,Doctor Octopus,94.0,48.0,33.0,40.0,Otto Octavius,"Doctor Octopus, Doc Ock, The Master Planner, The Master Programmer, Peter Benjamin Parker, Superior Spider-Man, Venom, Superior Venom","Schenectady, New York",Amazing Spider-Man #3 (July 1963),1963-04-09,Marvel Comics,bad,Male,Human,"[""5'9"", '175 cm']","['245 lb', '110 kg']",brown,brown,"Former atomic-research consultant, criminal mastermind",New York City,Thunderbolts Army; Former leader of the Sinister Six and the Masters of Evil V; Former partner of Green Goblin,Unknown,175.0,245.0
226,Doctor Strange,100.0,10.0,12.0,84.0,Stephen Strange,"Sorcerer Supreme, Master of the Mystic Arts, Stephen Sanders, Captain Universe, Vincent Stevens","Philadelphia, Pennsylvania","Strange Tales #110 (July, 1963)",1963-04-10,Marvel Comics,good,Male,Human,"[""6'2"", '188 cm']","['180 lb', '81 kg']",grey,black,"Sorcerer Supreme, retired neurosurgeon",Unknown,"Defenders, underground Avengers; formerly the Order, Midnight Sons; former disciple of the Ancient One","Eugene (father, deceased), Beverly (mother, deceased), Victor (Khiron, brother, apparently deceased), Donna (sister, deceased), Clea (wife, estranged), Umar (mother-in-law), Orini (father-in-law), Dormammu (uncle-in-law)",188.0,180.0
227,Domino,63.0,10.0,27.0,28.0,Neena Thurman,"Dom, Samantha Wu, Tamara Winter, Elena Vladescu, Jessica Marie Costello, Luisa Mendoza, Beatrice, Christina Elizabeth Alioso, Priscilla Sutherland, Hope Eldridge","Project: Armageddon base, Everglades, Florida","X-Force #8 (March, 1992)",1992-01-14,Marvel Comics,good,Female,Human,"[""5'8"", '173 cm']","['120 lb', '54 kg']",blue,black,Unknown,Unknown,X-Men; formerly X-Force; 198; X-Corporation; The Underground; X-Force; Six Pack,"Beatrice (mother), Lazarus (brother), Milo Thurman (husband, deceased)",173.0,120.0
230,Doomsday,75.0,100.0,67.0,100.0,Doomsday,The Ultimate Lifeform,Krypton,Superman: The Man of Steel #17 (Nov 1992),1992-09-15,DC Comics,bad,Male,Alien,"[""8'0"", '244 cm']","['915 lb', '412 kg']",red,white,Destroyer,Unknown,"Secret Society of Super Villains, Suicide Squad, Apokolips",Unknown,244.0,915.0
231,Doppelganger,8.0,63.0,60.0,95.0,Unknown,"The Spider-Man Doppelganger, Spider-Doppelganger, Mindless One",The Dimension of Manifestations,Infinity War #1 (1992),1992-06-02,Marvel Comics,bad,Male,Unknown,"[""6'5"", '196 cm']","['230 lb', '104 kg']",white,no hair,Unknown,Unknown,Formerly Carnage Family; Magus' doppelgangers; operative of Demogoblin,"Anthropomorpho (creator); Hellspawn, Moonshade, many other doppelgangers (brethren)",196.0,230.0
234,Drax the Destroyer,56.0,80.0,25.0,85.0,Arthur Sampson Douglas,Unknown,"Burbank, California","Iron Man #55 (February, 1973)",1972-12-12,Marvel Comics,good,Male,Human / Altered,"[""6'4"", '193 cm']","['680 lb', '306 kg']",red,no hair,Unknown,C.I.T.T.; formerly Monster Isle and Titan,"Guardians of the Galaxy; formerly Infinity Watch, Secret Defenders, United Front, Selects of the Phalanx","Yvette Steckley Douglas (wife, deceased), Heather Douglas (aka Moondragon, daughter), Pamela Douglas (aka Sundragon, niece), Cammille Benally (foster daughter), Venom (former symbiote)",193.0,680.0
237,Electro,69.0,10.0,50.0,56.0,Maxwell Dillon,Unknown,Unknown,Amazing Spider-Man #9 (1964),1964-02-11,Marvel Comics,bad,Male,Human,"[""5'11"", '180 cm']","['165 lb', '74 kg']",blue,auburn,Professional criminal,Unknown,"Sinister Six formerly Emissaries of Evil, Frightful Four and Sinister Twelve","Norma Lynn Dillon (ex-wife), Jonathan Dillon (father, deceased), Anita Dillon (mother, deceased)",180.0,165.0
238,Elektra,63.0,11.0,30.0,28.0,Elektra Natchios,Erynys (evil self),Unknown,Daredevil #168,1981-01-06,Marvel Comics,good,Female,Human,"[""5'9"", '175 cm']","['130 lb', '59 kg']",blue,black,"Assassin, adventurer, mercenary, former student, dancer",Unknown,"S.H.I.E.L.D.; formerly Thunderbolts, Hand, Chaste, Heroes For Hire, Code Red, partner of Daredevil and Deadpool","Hugo Kostas Natchios (father, deceased), Christina Natchios (mother, deceased), Orestez Natchios (older brother), Demetrios Natchios (Uncle), Alexia Natchios (Aunt)",175.0,130.0
240,Elongated Man,75.0,10.0,33.0,90.0,Ralph Dibny,Alvin Burgson; Molder,Unknown,Flash #112 (1960),1960-05-12,DC Comics,good,Male,Unknown,"[""6'1"", '185 cm']","['178 lb', '80 kg']",blue,red,Detective,"Opal City, Central City","Justice League of America, Justice League Europe, Super Buddies, Outsiders, Croatoans, Black Lantern Corps","Sue Dibny (wife, deceased); Ken Dibny (brother); Jake Dibny (uncle); Jim (uncle-in-law)",185.0,178.0
241,Emma Frost,75.0,63.0,35.0,90.0,Emma Frost,"Storm, White Queen","Boston, Massachusetts",Uncanny X-Men #132,1980-04-01,Marvel Comics,good,Female,Unknown,"[""5'10'"", '178 cm']","['144 lb', '65 kg']",blue,blond,Unknown,"(current) Emma Frost operates from the Massachusetts Academy, Snow Valley, Massachusetts, (former) Hellfire Club mansion in New York City, a home in the Berkshire Mountains in Massachusetts (near the Massachusetts Academy), and places of residence in vari","Active member of the X-Men, Instructor for Generation X, The Inner Circle of the Hellfire Club","Winston Frost (father), Hazel Frost (mother), Christian Frost (brother) Adrienne Frost (sister, deceased,) Cordelia Frost (sister)",178.0,144.0
242,Enchantress,63.0,14.0,25.0,60.0,June Moone,"Anita Soulfeeda, Soulsinger",Unknown,Strange Adventures #187,1966-04-01,DC Comics,good,Female,Human,"[""5'6"", '168 cm']","['126 lb', '57 kg']",blue,blond,Artist; Magician,Unknown,"Forgotten Villains, Sentinels of Magic, Shadowpact, Suicide Squad",Unknown,168.0,126.0
246,Etrigan,50.0,85.0,17.0,100.0,Jason Blood,Demon,Hell,"Demon #1 (September, 1972)",1972-06-20,DC Comics,neutral,Male,Demon,"[""6'4"", '193 cm']","['452 lb', '203 kg']",red,no hair,Unknown,Hell,"Formerly Justice League of America, Spirit Squad","Belial (father), Raan va Daath (mother), Merlin (half Brother)",193.0,452.0
248,Evilhawk,50.0,32.0,33.0,70.0,Dargin Bokk,Unknown,Unknown,"Darkhawk #20 (October, 1992)",1992-08-11,Marvel Comics,bad,Male,Alien,"[""6'3"", '191 cm']","['235 lb', '106 kg']",red,black,Crimelord,(Formerly) planet Luq,Unknown,Unknown,191.0,235.0
249,Exodus,63.0,81.0,28.0,28.0,Bennet du Paris,Paris Bennet,Unknown,"X-Factor #92 (July, 1993)",1993-05-04,Marvel Comics,bad,Male,Mutant,"[""6'0"", '183 cm']","['195 lb', '88 kg']",blue,black,"Terrorist, would-be conqueror, Former leader of the Acolytes, Crusader","Currently mobile, Formerly Avalon","Acolytes, formerly Brotherhood and Marauders",Unknown,183.0,195.0
251,Falcon,38.0,13.0,50.0,28.0,Sam Wilson,"Sam Wilson, (formerly) Captain America, Blackbird, Blackwing, Brother Superhero","New York, New York","Captain America #117 (September, 1969)",1969-07-01,Marvel Comics,good,Male,Human,"[""6'2"", '188 cm']","['240 lb', '108 kg']",brown,black,"Crimefighter, (former) freelance artist","New York, New York; formerly Avengers Mansion, New York City, New York; S.H.I.E.L.D. Helicarrier.","Mighty Avengers, Avengers, S.H.I.E.L.D.; partner of Redwing; formerly Heroes For Hire, partner of Captain America, Secret Avengers, S.H.I.E.L.D. Super-Agents (leader), Defenders, ally of Secret Warriors , Defenders for a Day","Paul Wilson (father, deceased); Darlene Wilson (mother, deceased); Sarah Wilson (sister), Gideon Wilson (brother); Jim Wilson (nephew, deceased); Jody Casper (nephew)",188.0,240.0
254,Feral,38.0,28.0,45.0,28.0,Maria Callasantos,Unknown,Place of birth unknown,New Mutants #99,1991-03-05,Marvel Comics,good,Unknown,Unknown,"[""5'9"", '175 cm']","['110 lb', '50 kg']",yellow (without irises),orange / white,"Formerly Adventurer, Terrorist",Base of operations unknown,"Formerly Morlocks, X-Force, Mutant Liberation Front","Mr. Callasantos (father, first name unrevealed, deceased), Marcella Callasantos (mother, deceased), Lucia Callasantos (Thornn, sister), Matteo Callasantos (brother, deceased), Carolina Callasantos (sister, deceased)",175.0,110.0
257,Firebird,38.0,8.0,40.0,14.0,Bonita Juarez,"Pajaro Del Fuego, La Espirita, Firemaiden","Buena Vista, New Mexico",Incredible Hulk Vol. 2 #265,1981-11-03,Marvel Comics,good,Female,Unknown,"[""5'5'"", '165 cm']","['125 lb', '56 kg']",brown,black,"Social worker, adventurer",New Mexico,"Catholic Church; formerly the Rangers, provisional member of the Avengers West Coast, Queen's Vengeance",Unknown,165.0,125.0
258,Firelord,38.0,63.0,75.0,90.0,Pyreus Kril,Nova Centurion,"Xander, planet in Tranta System, Andromeda Galaxy",Thor Vol. 1 #225,1974-07-02,Marvel Comics,good,Unknown,Unknown,"[""6'4'"", '193 cm']","['220 lb', '99 kg']",white,yellow,"Former starship captain, former herald of Galactus",Mobile; usually in space,"Formerly Nova Corps, Guardians of the Galaxy (in an alternate future)",Unknown,193.0,220.0
259,Firestar,50.0,8.0,54.0,55.0,Angelica Jones,"Angel, Anj, Lady Comet",Place of birth unknown,"Uncanny X-Men #193 (May, 1985)",1985-03-05,Marvel Comics,good,Female,Mutant,"[""5'8"", '173 cm']","['125 lb', '56 kg']",green,red,Student,"New Warriors Crash Pad, New York City, New York State; Avengers Mansion, New York City, New York State; and formerly Massachusetts Academy, Snow Valley, Massachusetts","New Warriors Reservist, Avengers Reservist, and Former Hellion and student of the White Queen","Bartholomew Jones (father), Nana (grandmother)",173.0,125.0
261,Firestorm,38.0,80.0,58.0,80.0,Ronald Raymond,"Ronnie, Roy, Ronald Rockwell, Flamehead",Unknown,"Firestorm #1 (March, 1978)",1977-12-06,DC Comics,good,Male,Human,"[""6'2"", '188 cm']","['202 lb', '91 kg']",blue,auburn,Adventurer; former employee of Bun 'n Run,"Formerly Manhattan, New York City; Ivy University, Ivy Town; Pittsburgh, Pennsylvania","Firestorm Matrix, Justice League,formerly Black Lantern Corps, Power Company, White Lantern Corps","Edward Raymond (father); Elaine Rockwell (mother, deceased); Felicity Smoak-Raymond (stepmother); Richard Dare (grandfather)",188.0,202.0
263,Flash,63.0,10.0,100.0,50.0,Jay Garrick,"Jay Garrick, Siegfreid the Speedster","Hibbardsville, Kansas",Flash Comics #1 (January 1940),1939-11-20,DC Comics,good,Male,Human,"[""5'11"", '180 cm']","['179 lb', '81 kg']",blue,brown / white,"Research Scientist, part-time Director of Garrick Laboratories","Keystone City, Kansas","Justice Society of America, Flash Family; formerly All-Star Squadron","Joseph Garrick (father), Joan Williams (wife), Arthur Williams (father-in-law), unnamed adopted son (deceased), Bart Allen (Flash II, ward)",180.0,179.0
268,Forge,63.0,10.0,12.0,28.0,Unknown,"The Maker, Cheyenne","Unrevealed, presumably in the American West",Uncanny X-Men #184,1984-08-07,Marvel Comics,good,Unknown,Unknown,"[""6'"", '183 cm']","['180 lb', '81 kg']",brown,black,"Inventor working for the U.S. government, former soldier","Arlington, Virginia",X-Factor,Unknown,183.0,180.0
269,Franklin Richards,63.0,80.0,50.0,60.0,Franklin  Richards,"Franklin Benjamin, Tattletale, Psi-Lord, Ego-Spawn, Avatar","New York, New York",Fantastic Four Annual #6 (1968),1968-11-01,Marvel Comics,good,Male,Mutant,"[""4'8"", '142 cm']","['100 lb', '45 kg']",blue,blond,Student,"Baxter Building, New York, New York (formerly) Four Freedoms Plaza; Pier 4; Massachusetts Academy","Future Foundation; formerly Power Pack, Generation X, Daydreamers","Reed Richards (Mister Fantastic, father), Susan Storm Richards (Invisible Woman, mother), Valeria Richards (sister), Jonathan Storm (Human Torch, uncle), Nathaniel Richards (paternal grandfather), Franklin Storm (maternal grandfather, deceased), Evelyn Richards, Mary Storm (grandmothers (paternal and maternal respectively), deceased), Benjamin J. Grimm (Thing, godfather), Alicia Masters (godmother).",142.0,100.0
270,Franklin Storm,38.0,10.0,1.0,1.0,Dr. Franklin Storm,Franklin Storm was erroneously believed to be the first Invincible Man,Place of birth unknown,Fantastic Four #31,1964-10-08,Marvel Comics,good,Unknown,Unknown,"[""6'2'"", '188 cm']","['205 lb', '92 kg']",blue,grey,Surgeon,Inapplicable,Unknown,"Mary Storm (wife, deceased), Susan Storm Richards (Invisible Woman, daughter), Jonathan Storm (Human Torch, son), Franklin Richards (grandson), Reed Richards (Mister Fantastic, son-in-law)",188.0,205.0
271,Frenzy,63.0,53.0,35.0,100.0,Joanna Cargill,Unknown,Unknown,X-Factor Vol 1 #4,1986-01-14,Marvel Comics,bad,Female,Unknown,"[""6'11"", '211 cm']","['230 lb', '104 kg']",brown,black,Mercenary,Mobile; formerly Avalon in Earth orbit; Genosha; California,"Acolytes, formerly Alliance of Evil; temporarily X-Men while controlled by Jean Grey, Femizons",Unknown,211.0,230.0
273,Galactus,100.0,100.0,83.0,100.0,Galan,"Maker, Devourer of Worlds, Eater-of-Worlds, Ravager of Worlds",(Galan) Taa; (Galactus) the Cosmic Egg,Fantastic Four #48 (March 1966),1966-01-04,Marvel Comics,neutral,Male,Cosmic Entity,"[""28'9"", '876 cm']","['36400 lb', '16 tons']",black,black,"Planet Devourer, Third Force of the Universe - balance between Eternity and Death, Nullifying Abraxas' Influence on the Multiverse, Third Face of the Living Tribunal - representing Equity",Worldship (aka Taa II); though he is generally mobile throughout the universe via his spherical starship in search of suitable planets to consume.,Heralds of Galactus; formerly God Squad,"Galan (""father""), Galacta (daughter)",876.0,36400.0
274,Gambit,63.0,10.0,23.0,28.0,Remy Etienne LeBeau,"Death, Le Diable Blanc, formerly Robert Lord, Cajun","New Orleans, Louisiana",(as Gambit) Uncanny X-Men #266 (1990),1990-06-19,Marvel Comics,good,Male,Mutant,"[""6'1"", '185 cm']","['179 lb', '81 kg']",red,brown,"Jean Grey School for Higher Learning, Salem Center, Westchester County, New York; formerly Utopia, San Francisco Bay, California; Xavier Institute, Salem Center, Westchester County, New York; New Orleans; Paris; Cairo; Illinois","(current) Xavier Institute, Salem Center, Westchester County, New York; (former) New Orleans, Louisiana; Paris, France; Cairo, Illinois;","X-Men (Team Wolverine); formerly Marauders, Horsemen of Apocalypse, Chevaliers, X-Treme X-Men, Thieves & Unified Guild's of New Orleans, Crimson Pirates","Jean-Luc LeBeau (father), Belladonna (aka Bella Donna Boudreaux) (wife, separated)",185.0,179.0
275,Gamora,75.0,85.0,42.0,85.0,Gamora Zen Whoberi Ben Titan,"The Deadliest Woman In The Universe, The Most Dangerous Woman in the Galaxy","Planet Zen Whoberi, Silican System, Milky Way","Strange Tales #180 (June, 1975)",1975-03-11,Marvel Comics,good,Female,Zen-Whoberian,"[""6'0"", '183 cm']","['170 lb', '77 kg']",yellow,black,"Assassin, mercenary, adventurer","C.I.T.T.; formerly Godthab Omega, Monster Island, Sanctuary II and the pocket-dimension within the Soul Gem; Earth-7528","Guardians of the Galaxy ; formerly Phalanx's Selects, Graces (Leader), Infinity Watch ; United Front ; former minion of Thanos; ally of Adam Warlock and Pip the Troll","Thanos (foster father), Thane (foster brother), Unnamed former Symbiote",183.0,170.0
280,Ghost Rider,50.0,55.0,25.0,100.0,Johnny Blaze,Unknown,"Waukegan, Illinois","Marvel Spotlight #5 (August, 1972)",1972-06-06,Marvel Comics,good,Male,Demon,"[""6'2"", '188 cm']","['220 lb', '99 kg']",red,no hair,Former stunt motorcyclist,"Mobile, Quentin Carnival","Quentin Carnival Formerly Midnight Sons, Legion of Monsters, The Champions","Barton (father, deceased), Clara (mother, deceased), Craig ""Crash"" Simpson (stepfather, deceased), Mona Simpson (stepmother, deceased), Roxanne Simpson (wife)",188.0,220.0
285,Gladiator,50.0,100.0,100.0,100.0,Kallark,"Majestor, Praetor, Captain Universe",Unknown,X-Men Vol 1 #107,1977-10-05,Marvel Comics,neutral,Male,Strontian,"[""6'6"", '198 cm']","['595 lb', '268 kg']",blue,blue,Majestor of the Shi'ar Empire; Former Praetor of the Imperial Guard; possibly former Herald of Galactus,"Chandilar, Shi'ar Galaxy; mobile throughout the Shi'ar Empire and surrounding galaxies.","Galactic Council, Annihilators; formerly Imperial Guard; possibly Heralds of Galactus","Kubark (Kid Gladiator) (son), Xenith (The Strontian) (cousin)",198.0,595.0
286,Goblin Queen,75.0,10.0,23.0,28.0,Madelyne Jennifer Pryor,"Anodyne, Maddie, Lyne, Red, Madelyne Pryor-Summers","Created in Sinister's Labs, Nebraska",Uncanny X-Men #168,1983-03-15,Marvel Comics,bad,Female,Unknown,"[""5'6"", '168 cm']","['110 lb', '50 kg']",green,red,Unknown,"Mobile; formerly Anchorage, Alaska; Reaver Base, Australian Outback, Australia; Empire State Building, New York, New York","Former ally of X-Men, partner of N'Astirh","Mister Sinister (creator), Jean Grey (Phoenix, genetic template), Scott Summers (Cyclops, husband), Nathan Christopher Summers (Cable, son), Christopher Summers (Corsair, father-in-law), Alex Summers (Havok, brother-in-law)",168.0,110.0
294,Gorilla Grodd,81.0,53.0,33.0,70.0,Grodd,"William Dawson, King Grodd, Gorilla Grodd, Grodd-Son",Unknown,"Flash #106 (May, 1959)",1959-03-10,DC Comics,bad,Male,Gorilla,"[""6'6"", '198 cm']","['600 lb', '270 kg']",yellow,black,Unknown,"Gorilla City, Africa",Unknown,"Boka (wife, separated), Gorbzil Mammit (son), Sam Simeon (grandson)",198.0,600.0
296,Gravity,50.0,32.0,33.0,40.0,Greg Willis,Protector of the Universe,"Sheboygan, Wisconsin","Gravity #1 (August, 2005)",2005-06-29,Marvel Comics,good,Male,Human,"[""5'10"", '178 cm']","['175 lb', '79 kg']",blue,brown,Student,New York City,"Young Allies; Formerly Great Lakes Initiative, Heavy Hitters","Richard Willis (father), Mary Willis (mother)",178.0,175.0
298,Green Arrow,81.0,12.0,35.0,28.0,Oliver Queen,"The Emerald Archer, Battling Bowman",Unknown,More Fun Comics #73 (November 1941),1941-09-25,DC Comics,good,Male,Human,"[""6'2"", '188 cm']","['195 lb', '88 kg']",green,blond,Professional Crime-fighter; Multi-Billionaire,"Star City, California; Formerly Seattle, Washington","Justice League Reserve, Connor Hawke, Mia Dearden,  Arsenal, Green Arrows of the World, Black Canary, Green Lantern Hal Jordan, Shado, Eddie Fyers, Justice League Elite, Seven Soldiers of Victory, All-Star Squadron","Conner Hawke (son); Robert (son); Cissie King (possible daughter); Roy Harper - Red Arrow (adoptive son); Dinah Laurel Lance (wife); Dinah Drake Lance (mother-in-law, deceased); Larry Lance (father-in-law, deceased)",188.0,195.0
