id,name,intelligence,strength,speed,durability,power,combat,full-name,alter-egos,aliases,place-of-birth,First Appearance,Release Date,publisher,alignment,gender,race,height,weight,eye-color,hair-color,occupation,base,group-affiliation,relatives,height_cm,weight_kg,BMI
155,Captain Mar-vell,,80.0,,,,,Mar-Vell,No alter egos found.,"Captain Marvel, Dr. Walter Lawson",The city of Rad-Nam on the planet Kree-Lar in the Kree Galaxy (Greater Magellanic Cloud),Marvel Super-Heroes #18,01/10/1969,Marvel Comics,good,Male,Unknown,"[""6'2'"", '188 cm']","['240 lb', '108 kg']",blue,blond,"Captain in the Kree space fleet, later adventurer, later ""Protector of the Universe""",Unknown,Avengers,"Mar-Vell (father-deceased), Elysius (mother-deceased)",188.0,240.0,67.9040289723857
156,Captain Marvel,88.0,100.0,88.0,95.0,100.0,75.0,Billy Batson,No alter egos found.,"The Worlds Mightiest Mortal, The Big Red Cheese, Captain Thunder, Shazam","Fawcett City, United States",Whiz Comics no. 2 (1940),02/25/1940,DC Comics,good,Male,Human,"[""6'4"", '193 cm']","['225 lb', '101 kg']",blue,black,Unknown,Unknown,"Marvel Family, Justice Society of America","C.C. Batson (father, deceased), Marilyn Batson (mother, deceased), Ebenezer Batson (uncle), Mary Batson (Mary Marvel, sister)",193.0,225.0,60.40430615587
158,Captain Marvel II,75.0,81.0,27.0,90.0,34.0,56.0,Frederick Christopher Freeman,No alter egos found.,"Captain Marvel Jr., CM3",Unknown,"The Power of Shazam #3 (May, 1995)",03/28/1995,DC Comics,good,Male,Human,"[""5'9"", '175 cm']","['165 lb', '74 kg']",blue,black,Adventurer,Primarily Fawcett City.,"Marvel Family, formerly Outsiders and Teen Titans.","parents, deceased, Jacob Freeman (granfather, deceased), Timothy Karnes (Sabbac, foster brother, deceased)",175.0,165.0,53.8775510204082
160,Captain Planet,50.0,88.0,75.0,80.0,100.0,60.0,Unknown,No alter egos found.,"The Captain, CP, Planet",Unknown,Captain Planet and the Planeteers (TV Series),09/15/1990,Marvel Comics,good,Male,God / Eternal,"['-', '0 cm']","['- lb', '0 kg']",red,green,Unknown,Unknown,The Planeteers,Unknown,,,
161,Captain Universe,,92.0,,,,,Unknown,No alter egos found.,"Guardian of Eternity, The Avenging Angel, The Hero That Could Be You",Unknown,"Micronauts #8 (August, 1979)",05/08/1979,Marvel Comics,good,Unknown,God / Eternal,"['-', '0 cm']","['- lb', '0 kg']",unknown,unknown,Unknown,Unknown,Unknown,Unknown,,,
162,Carnage,63.0,63.0,70.0,84.0,88.0,90.0,Cletus Kasady,No alter egos found.,"Mass Carnage, 999th",Unknown,"Amazing Spider-Man #344 (February, 1991)",12/11/1990,Marvel Comics,bad,Male,Symbiote,"[""6'1"", '185 cm']","['190 lb', '86 kg']",green,red,Unknown,New York City,"Maximum Carnage: (Carrion, Shriek, Demogoblin, Doppelganger)","Venom (""father""); Shriek (""wife""); Hybrid, Lasher, Phage, Riot (""brothers""); Agony, Scream (""sisters""); Carrion, Demogoblin, Doppelganger, Toxin (""sons""); Scorn (""Daughter"")",185.0,190.0,55.5149744338934
163,Cat,,90.0,,,,,Shirlee Bryant,No alter egos found.,Unknown,"Chicago, Illinois",The Cat #1,11/07/1972,Marvel Comics,good,Female,Unknown,"[""5'8"", '173 cm']","['135 lb', '61 kg']",blue,blond,Model,"Chicago, Illinois",Unknown,Unknown,173.0,135.0,45.1067526479334
164,Cat II,,,,,,,Unknown,No alter egos found.,Unknown,Unknown,Unknown,,Marvel Comics,good,Female,Unknown,"['-', '0 cm']","['- lb', '0 kg']",unknown,unknown,Unknown,Unknown,Unknown,Unknown,,,
165,Catwoman,69.0,11.0,33.0,28.0,27.0,85.0,Selina Kyle,No alter egos found.,"The Cat, Irena Dubrovna, Elva Barr, Sadie Kelowski, Madame Moderne, Marguerite Tone",Gotham City,Detective Comics #569,08/26/1986,DC Comics,good,Female,Human,"[""5'9"", '175 cm']","['135 lb', '61 kg']",green,black,Thief,Gotham City,"Batman Family, Outsiders; formerly Birds of Prey, Injustice League, Secret Society of Super-Villains","Brian Kyle (father, deceased), Maria Kyle (mother, deceased), Maggie Kyle (sister), Helena Kyle (daughter)",175.0,135.0,44.0816326530612
166,Cecilia Reyes,,,,,,,Dr. Cecilia Reyes,No alter egos found.,Unknown,Place of birth unknown,X-Men #65 (1997),06/11/1997,Marvel Comics,good,Unknown,Unknown,"[""5'7"", '170 cm']","['138 lb', '62 kg']",brown,brown,Doctor in private practice,Salem Center,X-Men,Unknown,170.0,138.0,47.7508650519031
167,Century,88.0,80.0,53.0,64.0,100.0,100.0,Unknown,No alter egos found.,Unknown,Unknown,"Force Works #1 (July, 1994)",05/31/1994,Marvel Comics,good,Male,Alien,"[""6'7"", '201 cm']","['215 lb', '97 kg']",white,white,"Tracker, adventurer",Unknown,Force Works,Unknown,201.0,215.0,53.2165045419668
168,Cerebra,,57.0,,,,,Shakti Haddad,No alter egos found.,Unknown,Unknown,"X-Men 2099 #1 (October, 1993)",08/17/1993,Marvel Comics,good,Female,Mutant,"['-', '0 cm']","['- lb', '0 kg']",unknown,unknown,Unknown,Unknown,"X-Men (2099), Halo City Protectorate, X-Nation",Zail Haddad (father),,,
169,Chamber,50.0,10.0,20.0,80.0,57.0,64.0,Jonothon Evan Starsmore,No alter egos found.,"Decibel, Jono, Jono Hex",United Kingdom,"Generation X #1 (November, 1994)",09/13/1994,Marvel Comics,good,Male,Mutant,"[""5'9"", '175 cm']","['140 lb', '63 kg']",brown,brown,Adventurer,"Utopia; formerly New Warriors HQ; Xavier Institute for Higher Learning, Salem Center, Westchester County, New York; Massachusetts Academy, Snow Valley, Massachusetts",X-Men; formerly New Warriors; Clan Akkaba; Weapon X; Generation X,Unknown,175.0,140.0,45.714285714285694
170,Chameleon,88.0,10.0,12.0,28.0,28.0,28.0,Dmitri Anatoly Smerdyakov Kravinoff,No alter egos found.,"Dr. Ashley Kafka, Dr. Turner, J. Jonah Jameson, Torpedo, Rick Jones, Dr. Henry Pym, Peter Parker, Captain George Stacy, Dr. Robert Bruce Banner, General",Russia,Amazing Spider-Man #1,03/01/1963,DC Comics,bad,Male,Unknown,"['-', '0 cm']","['- lb', '0 kg']",unknown,unknown,Unknown,Unknown,"The Exterminators; formerly Sinister Six, Sinister Twelve","Kravinoff Patriarch (father, deceased), mother (unnamed), Sergei Kravinoff (Kraven I, half-brother, deceased), Vladimir Kravinoff (The Grim Hunter, nephew, deceased), Alyosha Kravinoff (Kraven the Hunter, nephew), Ned Tannengarden (nephew, deceased)",,,
171,Changeling,63.0,10.0,23.0,42.0,64.0,64.0,Kevin Sidney,No alter egos found.,"Professor X, Professor Charles Xavier",Unknown,"Uncanny X-Men #35 (August, 1967)",06/06/1967,Marvel Comics,bad,Male,Unknown,"[""5'11"", '180 cm']","['180 lb', '81 kg']",brown,black,"Former substitute teacher, adventurer, subversive",Unknown,"Formerly X-Humed, X-Men, Factor Three",Unknown,180.0,180.0,55.5555555555556
172,Cheetah,38.0,8.0,42.0,20.0,32.0,70.0,Priscilla Rich,No alter egos found.,"Kay Carlton, The Cheetah",Unknown,Wonder Woman Vol1 #6 (Fall 1943),10/21/1943,DC Comics,bad,Female,Human,"[""5'4"", '163 cm']","['110 lb', '50 kg']",green,blond,Unknown,Unknown,Villainy Inc,"Claudia Rich (cousin), Debi Domaine (niece)",163.0,110.0,41.4016334826301
173,Cheetah II,38.0,20.0,42.0,20.0,39.0,60.0,Deborah Domaine,No alter egos found.,"Debbi, The Cheetah",Unknown,Wonder Woman Vol1 #274 (Dec 1980),10/14/1980,DC Comics,bad,Female,Human,"[""5'7"", '170 cm']","['122 lb', '55 kg']",green,brown,Unknown,"Chesapeake Bay, Maryland",Former member of the Organization For Ecological Sanity · former member of the Secret Society of Super-Villains,"Priscilla Rich (Cheetah I, aunt), Claudia Rich (aunt)",170.0,122.0,42.2145328719723
174,Cheetah III,88.0,100.0,88.0,80.0,78.0,95.0,Barbara Minerva,No alter egos found.,"Barbara Minerva, Bride of Urzkartaga, Priscilla Rich, Deborah Domaine, Sabrina Ballesteros",Unknown,Wonder Woman Vol2 #7 (Sept 1987),07/07/1987,DC Comics,bad,Female,Human,"[""5'9"", '175 cm']","['120 lb', '54 kg']",brown,brown,"Archaeologist, Anthropologist","Nottingham, England","The Society, Injustice League",Unknown,175.0,120.0,39.1836734693878
177,Citizen Steel,50.0,95.0,33.0,100.0,23.0,60.0,Nathan Heywood,No alter egos found.,"Buckeye, Uncle Nate, Uncle Nathan",Unknown,"Justice Society of America Vol 3 #2 (March, 2007)",01/10/2007,DC Comics,good,Male,Human,"[""6'0"", '183 cm']","['378 lb', '170 kg']",green,red,"Adventurer, former Professional Football Player","Battery Park, New York City, formerly Franklin County, Ohio",Justice Society of America,"Hank Heywood, Sr. (Commander Steel, grandfather, deceased) � Hank Heywood, Jr. (uncle, deceased) � Hank Heywood III (Steel, cousin, deceased) � Kirk Heywood (brother, deceased), Nicole (cousin)",183.0,378.0,112.872883633432
179,Clea,,39.0,,,,,Clea,No alter egos found.,Unknown,The Dark Dimension,Unknown,,Marvel Comics,good,Unknown,Unknown,"['-', '0 cm']","['- lb', '0 kg']",unknown,white,Former ruler and Sorceress Supreme of the Dark Dimension; former apprentice of Doctor Strange,Base of operations unknown,Unknown,"Dormammu (uncle), Umar (mother)",,,
180,Cloak,63.0,10.0,47.0,64.0,100.0,56.0,Tyrone Johnson,No alter egos found.,Unknown,"South Boston, Massachusetts",Spectacular Spider-Man #64,03/13/1982,Marvel Comics,good,Male,Unknown,"[""7'5"", '226 cm']","['155 lb', '70 kg']",brown,black,Vigilante,"Holy Ghost Church, 42nd Street, New York City","Cloak and Dagger, New Warriors, Marvel Knights",Smokin' Joe (rumored grandfather),226.0,155.0,30.3469339807346
181,Clock King,75.0,10.0,17.0,10.0,7.0,40.0,William Tockman,No alter egos found.,Tempus Fugit,Unknown,"World's Finest #111 (August, 1960)",06/02/1960,DC Comics,bad,Male,Human,"[""5'10"", '178 cm']","['173 lb', '78 kg']",blue,black,Unknown,Unknown,"Clockwatchers, Justice League Antarctica, Suicide Squad, Time Foes","Beverly (sister, deceased)",178.0,173.0,54.6016917055927
184,Colossal Boy,,,,,,,Unknown,No alter egos found.,Unknown,Unknown,Unknown,,DC Comics,good,Male,Unknown,"['-', '0 cm']","['- lb', '0 kg']",unknown,unknown,Unknown,Unknown,Unknown,Unknown,,,
185,Colossus,63.0,83.0,33.0,100.0,45.0,80.0,Piotr Nikolaievitch Rasputin,No alter egos found.,"Pete, Peter Nicholas, The Proletarian, Little Brother","Ust-Ordynski Collective, near Lake Baikal, Siberia, Russia","Giant-Size X-Men #1 (May, 1975)",05/01/1975,Marvel Comics,good,Male,Mutant,"[""7'5"", '226 cm']","['500 lb', '225 kg']",silver,black,"(current) Adventurer, student, (former) Artist","(current) Professor Charles Xavier's Institute for Higher Learning, Salem Center, Westchester County, New York (former) Muir Isle, Scotland,; a loft in Soho, Manhattan, Ust-Ordynski Collective, Lake Baikal, Siberia, U.S.S.R., X-Men Headquarters in Austra","X-Men; formerly Excalibur, Acolytes, Defender","Grigory Efimovich Rasputin (great-grandfather, deceased), Elena (great-grandmother, deceased), Ivan Rasputin (great-grand uncle, deceased), Grigory Rasputin (grandfather, deceased), Nikolai Rasputin (father, deceased), Alexandra Rasputina (mother, deceased), Vladimir Rasputin (uncle, deceased), unidentified aunt & uncle (deceased), Illyana Nikolievna Rasputina (Magik, sister, deceased), Mikhail Rasputin (brother), Peter Jr. (son), Larissa Mishchenko (cousin, deceased), Konstantin (cousin, deceased), Klara (cousin, deceased), Dimitriy (cousin, deceased)",226.0,500.0,97.8933354217245
186,Copycat,56.0,10.0,21.0,25.0,54.0,60.0,Vanessa Carlysle,No alter egos found.,"Nurse Veronica, Patricia Muggins, Titania, Garrison Kane, Christina Valentino, Domino, Cheryl Marks, Debbie, Marguerite, Amy",Unknown,"New Mutants #98 (February, 1991)",12/11/1990,Marvel Comics,neutral,Female,Mutant,"[""6'0"", '183 cm']","['148 lb', '67 kg']",red,white,Unknown,"Mobile; formerly Adirondack Mountains, Xavier's School for Gifted Youngsters","Weapon X/Weapon Plus and Six Pack (as Copycat), X-Force and New Mutants (as Domino)","Burt Carlysle (father, deceased), Dorothy Carlysle (mother)",183.0,148.0,44.193615814147904
187,Corsair,,16.0,,,,,Christopher Summers,No alter egos found.,Unknown,Unknown,Uncanny X-Men #107,10/05/1977,Marvel Comics,good,Male,Unknown,"[""6'3"", '191 cm']","['175 lb', '79 kg']",brown,brown,"Pirate, former pilot","The Starjammer, Mobile","Starjammers (leader), formerly N.A.S.A, U.S.A.F.","Philip Summers (father), Deborah Summers (mother), Katherine Anne Summers (wife, deceased), Hepzibah (mate), Scott Summers (Cyclops, son), Alexander Summers (Havok, son), Gabriel Summers (Vulcan, son), Madelyne Pryor-Summers (daughter-in-law, deceased), Jean Grey-Summers (Phoenix, daughter-in-law), Nathan Christopher Summers (Cable, grandson), Stryfe (clone grandson, deceased), Tyler Dayspring (Genesis, great-grandson, deceased), Rachel Grey (Marvel Girl, alternate timeline granddaughter)",191.0,175.0,47.9701762561333
188,Cottonmouth,50.0,10.0,8.0,10.0,27.0,25.0,Burchell Clemens,No alter egos found.,Quincy McIver,Unknown,"Captain America #310 (October, 1985)",08/13/1985,Marvel Comics,bad,Male,Human,"[""6'0"", '183 cm']","['220 lb', '99 kg']",brown,black,Professional criminal,Serpent Citadel,Serpent Society,Unknown,183.0,220.0,65.6932126967064
189,Crimson Crusader,,58.0,,,,,Rory Destine,No alter egos found.,Unknown,"Ravenscroft, England",ClanDestine #1 (1994),02/01/1994,Marvel Comics,good,Male,Unknown,"['-', '0 cm']","['- lb', '0 kg']",blue,strawberry blond,Unknown,Unknown,ClanDestine,"Adam Destine (father), unnamed genie (mother), Albert Destine (brother), Samantha Destine (Argent, sister), William Destine (Cap'n Oz, brother), Kay Cera (Cuckoo, sister), Florence Destine (sister, deceased), Gracie Destine (sister, deceased), Dominic Destine (Hex, brother), Pandora Destine (Imp, sister), Maurice Destine (brother, deceased), Newton Destine (brother), Vincent Destine (brother, deceased), Walter Destine (Wallop, brother)",,,
190,Crimson Dynamo,,65.0,,,,,Anton Vanko,No alter egos found.,Krashni Denamit,Unknown,Tales of Suspense #46 (Oct 1963),07/09/1963,Marvel Comics,good,Male,Unknown,"[""5'11"", '180 cm']","['230 lb', '104 kg']",brown,no hair,Scientist,"Stark Industries plant, Long Island, New York",Unknown,Unknown,180.0,230.0,70.9876543209876
191,Crystal,63.0,16.0,12.0,14.0,61.0,56.0,Crystallia Amaquelin,No alter egos found.,"Crys, Exquisite Elemental",Attilan,Fantastic Four #45 (1965),09/07/1965,Marvel Comics,good,Female,Inhuman,"[""5'6"", '168 cm']","['110 lb', '50 kg']",green,red,"Mother, adventuress",Unknown,"Inhumans (Royal Family); formerly Fantastic Four, Avengers, Queen's Vengeance","Quelin (father), Ambur (mother), Medusa (sister), Gorgon, Karnak, Triton (cousins), Black Bolt (cousin, brother-in-law), Pietro Maximoff (Quicksilver, estranged husband), Luna (daughter), Ahura (nephew), extensive extended family",168.0,110.0,38.9739229024943
194,Cyborg,75.0,53.0,42.0,85.0,71.0,64.0,Victor Stone,No alter egos found.,"Cyberion Technis, Omegadrome, Planet Cyberion","New York City, New York","DC Comics Presents #26 (October, 1980)",08/28/1980,DC Comics,good,Male,Cyborg,"[""6'6"", '198 cm']","['385 lb', '173 kg']",brown,black,"Adventurer, Teen Titan",San Francisco,"Justice League; formerly Teen Titans, Titans, Titans East, New Teen Titans","Silas Stone (father), Elinore Stone (mother), Tucker Stone (grandfather), Maude Stone (grandmother)",198.0,385.0,98.2042648709315
195,Cyborg Superman,75.0,93.0,92.0,100.0,100.0,80.0,Henry Henshaw,No alter egos found.,"Grandmaster of the Manhunters, Herald of the Anti-Monitor, Alpha-Prime of the Alpha Lanterns",Unknown,"Adventures of Superman #466 (May, 1990)",03/13/1990,DC Comics,bad,Male,Cyborg,"['-', '0 cm']","['- lb', '0 kg']",blue,black,Unknown,"Warworld, Qward, Antimatter Universe, formerly Biot, Sector 3601","Alpha Lantern Corps, Manhunters, Warworld, formerly Apokolips and Sinestro Corps","Terri Henshaw (wife, deceased)",,,
196,Cyclops,75.0,10.0,23.0,42.0,76.0,80.0,Scott Summers,No alter egos found.,"Scotty, Cyke, Slim, Fearless Leader, One-Eye, Erik the Red, Slym Dayspring, Mutate 007, Apocalypse","Anchorage, Alaska","X-Men #1 (September, 1963)",07/02/1963,Marvel Comics,good,Male,Mutant,"[""6'3"", '191 cm']","['195 lb', '88 kg']",brown,brown,"Leader of mutant race, adventurer, headmaster, former student, radio announcer","Xavier Institute, Salem Center, Westchester County, New York","X-Men (leader, founding member); formerly X-Force (founder); Corsairs (squad leader); The Twelve; X-Factor/X-Terminators (founding member); 198","Oscar Summers (adoptive paternal distant ancestor, deceased); Daniel Summers (paternal distant ancestor, deceased); Amanda Mueller (Black Womb) (paternal distant ancestor); unnamed great-grandfather, deceased; Gloria Dayne (Fontanelle) (paternal distant ancestor); Philip Summers (paternal grandfather); Deborah Summers (paternal grandmother); Christopher Summers (Corsair) (father, deceased); Katherine Ann Summers (mother, deceased); Jack Winters (Jack O'Diamonds) (former foster father); Alexander Summers (Havok) (brother); Gabriel Summers (Vulcan) (brother, deceased); Madelyne Pryor-Summers (Red Queen) (first wife/second wife's clone, deceased); Jean Grey-Summers (Phoenix) (second wife, deceased); Nathan Summers (Cable) (son, deceased); Gailyn Bailey (niece, deceased); Joseph Bailey (nephew, deceased); Adam Neramani (X-Treme) (nephew, alleged half-brother); Hope Summers (adoptive granddaughter); Stryfe (son's clone); Summers and Grey Family Tree (more relatives)",191.0,195.0,53.4524821139771
197,Cypher,,44.0,,,,,Douglas Aaron Ramsey,No alter egos found.,Unknown,Place of birth unknown,New Mutants (Vol. 1) #13,03/20/1984,Marvel Comics,good,Unknown,Unknown,"[""5'9'"", '175 cm']","['150 lb', '68 kg']",blue,blond,"Student, Adventurer","Professor Charles Xavier's School for Gifted Youngsters, Salem Center, Westchester County, New York",New Mutants,"Phillip Ramsey (father), Sheila Ramsey (mother)",175.0,150.0,48.9795918367347
198,Dagger,63.0,10.0,35.0,42.0,52.0,70.0,Tandy Bowen,No alter egos found.,Lady Light,"Shaker Heights, Ohio",Spectacular Spider-Man #64,03/13/1982,Marvel Comics,good,Female,Unknown,"['Shaker Heights, Ohio']","['116 lb', '52 kg']",blue,blond,Vigilante,"Holy Ghost Church, 42nd Street, New York City","Cloak and Dagger, Defenders, League of Losers, Marvel Knights, New Warriors, Secret Avengers","Melissa Bowen (mother), unnamed father, Phillip Carlisle (stepfather), Father Michael Bowen (uncle)",,116.0,
201,Daredevil,75.0,13.0,25.0,35.0,61.0,100.0,Matt Murdock,No alter egos found.,"Matt, Jack Batlin, Kingpin of Crime, Laurent LeVasseur, Michael Mike Murdock, Scarlet Swashbuckler, Nameless One, Kingpin of Hells Kitchen, The Man Without Fear, The Guardian Devil, DD, Red, Hornhead, Cooper Peyton, Captain Universe","New York City, New York","Daredevil #1 (April, 1964)",02/04/1964,Marvel Comics,good,Male,Human,"[""6'0"", '183 cm']","['200 lb', '90 kg']",blue,red,"Adventurer, vigilante, Attorney at Law","Hell's Kitchen, New York, New York, Shadowland (formerly)","none; Formerly: partner of Black Widow (Natasha Romanoff), Defenders, S.H.I.E.L.D., Marvel Knights, Secret Avengers (Civil War), Hand leader.","Jonathan ""Battling Jack"" Murdock (Father, deceased), Maggie Murdock (aka Sister Maggie, Mother), Milla Donovan (ex-wife)",183.0,200.0,59.7211024515512
202,Darkhawk,50.0,32.0,33.0,70.0,74.0,64.0,Christopher Powell,No alter egos found.,"Bucket-Head, Edge-Man, Powell","Queens, New York","Darkhawk #1 (March, 1991)",01/08/1991,Marvel Comics,good,Male,Human,"[""6'1"", '185 cm']","['180 lb', '81 kg']",brown,brown,Retired Superhero,"Los Angeles, California; formerly New York City and Avengers Compound","formerly Loners, New Warriors, Avengers West Coast (reservist), Secret Defenders (founder)","Michael Powell (father), Grace Powell (mother), Jonathon and Jason Powell (brothers)",185.0,180.0,52.5931336742148
204,Darkseid,88.0,100.0,83.0,100.0,100.0,95.0,Uxas,No alter egos found.,Dark God,Unknown,Superman's Pal Jimmy Olsen #134 (November 1970),09/29/1970,DC Comics,bad,Male,New God,"[""8'9"", '267 cm']","['1815 lb', '817 kg']",red,no hair,Dictator of Apokolips,Unknown,"New Gods of Apokolips(ruler), Secret Society of Supervillains","Zonuz (father), Izaya (brother), Avia (sister, deceased), Grail (daughter), Kalibak (son), Orion (son), Deathspawn (son), Scot (nephew/adopted son)",267.0,1815.0,254.597483482725
206,Darkstar,38.0,8.0,35.0,42.0,79.0,64.0,Laynia Petrovna,No alter egos found.,Tyomni Zvesda,"Minks, USSR","Champions #7 (August, 1976)",06/08/1976,Marvel Comics,good,Female,Mutant,"[""5'6"", '168 cm']","['125 lb', '56 kg']",brown,blond,Occupation unknown,"(before death) Paris, France (formerly) Moscow, USSR; Los Angeles, California, United States","(at death)X-Corps (formerly) Champions, Winter Guard, Soviet Super Soldiers","Nicolai Krylenko a.k.a. Vanguard (brother), Sergi Krylov a.k.a. The Presence (father), Marya Krylova (mother, deceased)",168.0,125.0,44.2885487528345
207,Darth Maul,56.0,48.0,50.0,30.0,100.0,100.0,Unknown,No alter egos found.,"Sith, Master Of The Double-Bladed Lightsaber",Dathomir,Star Wars Episode I: The Phantom Menace (1999),05/19/1999,George Lucas,bad,Male,Dathomirian Zabrak,"[""5'7"", '170 cm']","['- lb', '0 kg']",yellow / red,unknown,Unknown,Unknown,Unknown,Darth Sidious (Master),170.0,,
208,Darth Vader,69.0,48.0,33.0,35.0,100.0,100.0,Anakin Skywalker,No alter egos found.,Lord Vader,Tatooine,Star Wars: Episode IV - A New Hope (1977),05/25/1977,George Lucas,bad,Male,Cyborg,"[""6'6"", '198 cm']","['300 lb', '135 kg']",yellow,no hair,"Sith Lord, Supreme Commander of the Imperial Fleet",Death Star,"Sith, Galactic Empire","Luke Skywalker (Son), Princess Leia (Daughter)",198.0,300.0,76.5228037955311
211,Dazzler,63.0,10.0,33.0,60.0,100.0,55.0,Alison Blaire,No alter egos found.,"Ali, The Disco Dazzler, Songbird, Dazz, Kimberly Schau, Ally","Gardendale, Long Island, New York",X-Men #130 (1980),02/12/1980,Marvel Comics,good,Female,Mutant,"[""5'8"", '173 cm']","['115 lb', '52 kg']",blue,blond,"Adventurer, singer, former actress, model, revolutionary",Unknown,"Formerly Excalibur, X-Babies (guardian), Mojoverse Rebellion, X-Men, Cat's Laughing, Gladiators","Bella Blaire (paternal grandmother), Carter Blaire (father, deceased), Katherine Blaire-Brown (Barbara London, mother), Nicholas Brown (step-father), Lois London (half-sister), Longshot (husband)",173.0,115.0,38.4242707741655
212,Deadman,50.0,10.0,33.0,100.0,100.0,42.0,Boston Brand,No alter egos found.,Unknown,Unknown,"Strange Adventures #205 (October, 1967)",08/29/1967,DC Comics,good,Male,Human,"[""6'0"", '183 cm']","['201 lb', '90 kg']",blue,black,"Wandering Spirit, Former Circus Aerialist","Mobile, Realm of the Just Dead","White Lantern Corps, formerly Sentinels of Magic, Seven Soldiers of Victory, Justice League of Apostles","Cleveland Brand (twin brother, deceased), Lita Brand (niece), Unnamed parents",183.0,201.0,60.019707963809
214,Deadshot,50.0,10.0,23.0,28.0,55.0,80.0,Floyd Lawton,No alter egos found.,"Man Who Never Misses, Worlds Finest Assassin, Orlando Furioso",Unknown,"Batman #59 (June, 1950)",04/05/1950,DC Comics,bad,Male,Human,"[""6'1"", '185 cm']","['202 lb', '91 kg']",brown,brown,Unknown,Unknown,Unknown,Unknown,185.0,202.0,59.021183345507694
215,Deathlok,69.0,32.0,30.0,70.0,40.0,60.0,Luther Manning,No alter egos found.,Demolisher,Unknown,"Astonishing Tales #25 (August, 1974)",05/07/1974,Marvel Comics,good,Male,Cyborg,"[""6'4"", '193 cm']","['395 lb', '178 kg']",brown,grey,Unknown,New York area,"Former member of the CIA, Project: Alpha-Mech, US Army, ally of Godwulf's Redeemers","Janice (Wife, seperated), Richard (son)",193.0,395.0,106.043115251416
216,Deathstroke,75.0,30.0,35.0,100.0,47.0,90.0,Slade Joseph Wilson,No alter egos found.,"Slade Wilson, Deathstroke the Terminator, Batman",Unknown,"New Teen Titans #2 (December, 1980)",10/16/1980,DC Comics,neutral,Male,Human,"[""6'4"", '193 cm']","['225 lb', '101 kg']",blue,white,"Mercenary; Former Soldier, Big-Game Hunter",The Labyrinth (exact location is currently unknown),"The Society, Titans; Formerly Tartarus, The Injustice League","Wade LaFarge (Ravager III, half-brother, deceased), Adeline Kane (ex-wife, deceased), Grant Wilson (Ravager I, son, deceased), Joseph Wilson (Jericho, son), Rose Wilson (Ravager IV, daughter)",193.0,225.0,60.40430615587
217,Demogoblin,50.0,48.0,42.0,35.0,67.0,60.0,Unknown,No alter egos found.,Jason Macendale Jr,Unknown,"Web of Spider-Man #86 (March, 1992)",01/14/1992,Marvel Comics,bad,Male,Demon,"[""6'1"", '185 cm']","['210 lb', '95 kg']",red,no hair,Demonic Redeemer,New York City,Unknown,Unknown,185.0,210.0,61.3586559532505
218,Destroyer,50.0,95.0,58.0,98.0,85.0,70.0,Unknown,No alter egos found.,Unknown,Created in Asgard,Journey into Mystery #118 (1965),03/02/1965,Marvel Comics,bad,Male,Unknown,"[""6'2"", '188 cm']","['850 lb', '383 kg']",unknown,unknown,Unknown,Unknown,Unknown,Unknown,188.0,850.0,240.493435943866
219,Diamondback,44.0,16.0,23.0,28.0,45.0,60.0,Willis Stryker,No alter egos found.,Unknown,Unknown,"Luke Cage, Hero for Hire #1 (1972)",06/06/1972,Marvel Comics,bad,Male,Human,"[""6'4"", '193 cm']","['200 lb', '90 kg']",brown,black,Criminal,Unknown,"Syndicate, formerly Bloods",Unknown,193.0,200.0,53.6927165829955
221,Doc Samson,75.0,80.0,33.0,80.0,36.0,70.0,Leonard Samson,No alter egos found.,Unknown,"Tulsa, Oklahoma","Incredible Hulk #141 (July, 1971)",04/06/1971,Marvel Comics,good,Male,Human / Radiation,"[""6'6"", '198 cm']","['380 lb', '171 kg']",blue,green,"Psychiatrist, teacher, adventurer, former special consultant to Gamma Base","Psychiatrist, teacher, adventurer, former special consultant to Gamma Base",Unknown,Leonard Skivorski (father); Ricky Myers (son);,198.0,380.0,96.9288848076727
222,Doctor Doom,100.0,32.0,20.0,100.0,100.0,84.0,Victor von Doom,No alter egos found.,"The Master, Invincible Man","Haasenstadt, Latveria",Fantastic Four #5 (July 1962),04/10/1962,Marvel Comics,bad,Male,Human,"[""6'7"", '201 cm']","['415 lb', '187 kg']",brown,brown,Monarch,"Castle Doom, Doomstadt, Latveria","Future Foundation; Formerly Cabal, Knights of the Atomic Table, Acts of Vengeance Prime Movers, partner of Namor, employer of the Terrible Trio, Fantastic Four (leader)","Werner von Doom (father, deceased), Cynthia von Doom (mother, deceased); Kang the Conqueror, his counterparts, and offspring (alleged descendants), Kristoff Vernard (Doctor Doom II, adopted son), Dr Bob Doom (distant cousin), Boris (unofficially adoptive father/guardian), Valeria von Doom (daughter from alternate universe; became baby of Susan Richards and is now called Valeria Richards)",201.0,415.0,102.720229697285
223,Doctor Doom II,,,,,,,Kristoff Vernard,No alter egos found.,"Victor Von Doom, Dr Doom","Doomstadt, Latveria",Fantastic Four #247 (1982),10/05/1982,Marvel Comics,bad,Male,Unknown,"[""6'7"", '201 cm']","['293 lb', '132 kg']",brown,brown,Unknown,"Former monarch, would-be conqueror",Unknown,"unnamed mother (deceased), Mister Fantastic (alleged half-brother), Valeria Richards (alleged niece), Victor von Doom (aka Doctor Doom, adopted father)",201.0,293.0,72.5229573525408
